,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.GoodForKids,attributes.RestaurantsReservations,attributes.Caters,attributes.NoiseLevel,attributes.RestaurantsTableService,attributes.RestaurantsTakeOut,attributes.RestaurantsPriceRange2,attributes.OutdoorSeating,attributes.BikeParking,attributes.HasTV,attributes.WiFi,attributes.Alcohol,attributes.RestaurantsAttire,attributes.RestaurantsGoodForGroups,attributes.RestaurantsDelivery,attributes.GoodForMeal.dessert,attributes.GoodForMeal.latenight,attributes.GoodForMeal.lunch,attributes.GoodForMeal.dinner,attributes.GoodForMeal.brunch,attributes.GoodForMeal.breakfast,attributes.BusinessParking.garage,attributes.BusinessParking.street,attributes.BusinessParking.validated,attributes.BusinessParking.lot,attributes.BusinessParking.valet,attributes.Ambience.romantic,attributes.Ambience.intimate,attributes.Ambience.classy,attributes.Ambience.hipster,attributes.Ambience.divey,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Ambience.upscale,attributes.Ambience.casual,attributes.BusinessAcceptsCreditCards,attributes.BusinessAcceptsBitcoin,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.GoodForDancing,attributes.CoatCheck,attributes.HappyHour,attributes.Music.dj,attributes.Music.background_music,attributes.Music.no_music,attributes.Music.jukebox,attributes.Music.live,attributes.Music.video,attributes.Music.karaoke,attributes.BestNights.monday,attributes.BestNights.tuesday,attributes.BestNights.friday,attributes.BestNights.wednesday,attributes.BestNights.thursday,attributes.BestNights.sunday,attributes.BestNights.saturday,attributes.Ambience,attributes.BusinessParking,attributes.DogsAllowed,attributes.BYOBCorkage,attributes.DriveThru,attributes.Smoking,attributes.AgesAllowed,attributes.Corkage,attributes.BYOB,attributes.GoodForMeal,attributes.Music,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.gluten-free,attributes.DietaryRestrictions.vegan,attributes.DietaryRestrictions.kosher,attributes.DietaryRestrictions.halal,attributes.DietaryRestrictions.soy-free,attributes.DietaryRestrictions.vegetarian,attributes.BestNights,attributes.Open24Hours,attributes.DietaryRestrictions,attributes.RestaurantsCounterService
0,PZ-LZzSlhSe9utkQYU8pFg,Carluccio's Tivoli Gardens,"1775 E Tropicana Ave, Ste 29",Las Vegas,NV,89119,36.1000163,-115.1285285,4.0,40,0,Restaurants,True,True,True,quiet,,True,2,False,,False,no,full_bar,casual,True,False,,,,,,,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
1,KWywu2tTEPWmR9JnBc0WyQ,Hunk Mansion,6007 Dean Martin Dr,Las Vegas,NV,89118,36.0801679,-115.1827558,4.0,107,1,Bars,False,True,,loud,,,2,True,False,True,,full_bar,,True,,,,,,,,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,,,,True,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Las Vegas,NV,89156,36.1956146,-115.0405289,4.5,184,1,"Restaurants,Patisserie/Cake Shop,Food,Bars",True,False,False,average,,True,1,False,True,True,no,beer_and_wine,casual,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,kANF0dbeoW34s2vwh6Umfw,Dairy Queen,6125 Spring Mountain Rd,Las Vegas,NV,89146,36.1250311,-115.2256202,2.0,33,0,"Fast Food,Food,Restaurants,Ice Cream & Frozen Yogurt",True,False,False,average,,True,1,False,True,False,no,none,casual,True,False,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,YK5eFV8uS1bCmp8GeiQ-Qg,All Star Donuts & Kolaches,3650 E Flamingo Rd,Las Vegas,NV,89121,36.115813,-115.095457,4.0,6,0,"Food,Donuts",,,,,,,1,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4343 N Rancho Dr,Las Vegas,NV,89030,36.238596,-115.2333307,2.0,4,1,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sKhDrZFCJqfRNylkHrIDsQ,Starbucks,"1990 Village Center Circle, Suite 1",Las Vegas,NV,89134,36.191852,-115.304983,4.0,76,1,"Food,Coffee & Tea",,,False,,,True,2,True,True,,free,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bJP4l_BGq2CudEu0m-wNjg,Artisan Fine Dining Room,"Artisan Hotel, 1501 W Sahara Ave",Las Vegas,NV,89102,36.1436722,-115.1697916,2.0,3,0,"Restaurants,Pizza",False,True,False,quiet,,False,4,False,False,True,no,full_bar,dressy,True,False,,,,,,,False,False,False,False,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,yes_corkage,,,,True,,,,,,,,,,,,,,
8,v7ZFEEqJBg_r8NCwHRP_2A,Bistro Divino,241 W Charleston Blvd,Las Vegas,NV,89102,36.1582642,-115.1579672,4.5,3,0,"Food,Pizza,Wine Bars,Bars,Restaurants",,,,,,,2,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6fPQJq4f_yiq1NHn0fd11Q,La Creperie,3655 Las Vegas Blvd S,Las Vegas,NV,89109,36.1125266402,-115.1713514328,3.5,535,1,"Restaurants,Creperies",True,False,False,average,,True,2,False,False,False,no,none,casual,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,yes_free,,,,False,,,,,,,,,,,,,,
10,k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,2411 W Sahara Ave,Las Vegas,NV,89102,36.1421161808,-115.1742515629,3.0,287,1,"Buffets,Restaurants",True,False,False,average,True,False,1,False,True,False,free,beer_and_wine,casual,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,yes_free,,,,False,False,,,,,,,,,,,,,
11,4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,Las Vegas,NV,89169,36.1020497898,-115.1562883,4.5,3,1,"Bars,Beer,Wine & Spirits,Restaurants,Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PWjgwphd2prhtqTPWwLbXw,Stage Deli Of Las Vegas,"3500 Las Vegas Blvd S, Ste E11",Las Vegas,NV,89109,36.1173267,-115.1765011,3.5,28,0,"Sandwiches,Restaurants,Delis,Desserts,Food",True,,,,,True,2,False,,,,,casual,True,False,,,,,,,True,False,False,False,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,eY98EH_PHGnJVaJ7t2UpoQ,Pita Pit,1263 Silverado Ranch Blvd,Las Vegas,NV,89183,36.012764,-115.136056,4.0,77,0,"Restaurants,Vegetarian,Juice Bars & Smoothies,Salad,Food,Sandwiches,Specialty Food",True,False,True,average,,True,1,False,False,False,no,none,casual,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,"3342 E Sandhill Rd, Ste 11",Las Vegas,NV,89121,36.1290404,-115.0912939,4.0,27,1,"Dive Bars,Food,Bars,Pubs,Restaurants,Beer,Wine & Spirits",False,False,False,quiet,True,True,1,False,True,True,no,full_bar,casual,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,False,,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,
15,0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",Las Vegas,NV,89103,36.1161693,-115.2418516,4.5,39,1,"Restaurants,Food,Delis,Desserts,Bakeries,Coffee & Tea",True,True,True,quiet,False,True,1,True,True,False,free,none,casual,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
16,IjGU7ZopsgeomsDQf20UXQ,Japanese Specialties,"4860 S Eastern Ave, Ste 3",Las Vegas,NV,89119,36.1005917,-115.1172961,4.0,4,0,"Food,Specialty Food",,,,,,,2,,False,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ci3xUs8ZffvGhWfoioAL0Q,Arc Bar,3655 S Las Vegas Blvd,Las Vegas,NV,89109,36.1121506,-115.17155,3.5,6,1,"Food,Beer,Wine & Spirits",,,,very_loud,,True,2,True,True,False,,beer_and_wine,,True,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,xXtWrRKn8A708BfaNs1nZw,"Coffee, Tea, or Me","2600 W Sahara Ave, Ste 121",Las Vegas,NV,89102,36.1452198,-115.1766512,4.0,19,0,"Sandwiches,Juice Bars & Smoothies,Coffee & Tea,Food,Donuts,Ice Cream & Frozen Yogurt,Restaurants",,,,,,True,1,False,True,,free,,,,,,,,,,,True,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,wdsGP5rJinx0J5GcGzPQUw,TJ's Steakhouse,3000 Paradise Rd,Las Vegas,NV,89109,36.1362575,-115.1512526,4.0,60,0,"Steakhouses,Restaurants",False,True,False,quiet,True,False,3,False,False,False,no,full_bar,dressy,True,False,,,,,,,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SZ5KO1KNiwtrktKo5mpuLA,Empress Court,3570 Las Vegas Blvd,Las Vegas,NV,89109,36.1161559,-115.1750576,3.5,21,0,"Seafood,Steakhouses,Restaurants",True,True,,quiet,,True,3,True,False,False,,full_bar,dressy,True,False,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LEOvXK3lMEfjnex3CPvrng,Albinas Italian American Bakery,3035 E Tropicana Ave,Las Vegas,NV,89121,36.0992176,-115.1096599,4.5,11,0,"Food,Bakeries,Restaurants",,,,,,,2,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
