,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.GoodForKids,attributes.RestaurantsReservations,attributes.Caters,attributes.NoiseLevel,attributes.RestaurantsTableService,attributes.RestaurantsTakeOut,attributes.RestaurantsPriceRange2,attributes.OutdoorSeating,attributes.BikeParking,attributes.HasTV,attributes.WiFi,attributes.Alcohol,attributes.RestaurantsAttire,attributes.RestaurantsGoodForGroups,attributes.RestaurantsDelivery,attributes.GoodForMeal.dessert,attributes.GoodForMeal.latenight,attributes.GoodForMeal.lunch,attributes.GoodForMeal.dinner,attributes.GoodForMeal.brunch,attributes.GoodForMeal.breakfast,attributes.BusinessParking.garage,attributes.BusinessParking.street,attributes.BusinessParking.validated,attributes.BusinessParking.lot,attributes.BusinessParking.valet,attributes.Ambience.romantic,attributes.Ambience.intimate,attributes.Ambience.classy,attributes.Ambience.hipster,attributes.Ambience.divey,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Ambience.upscale,attributes.Ambience.casual,attributes.BusinessAcceptsCreditCards,attributes.BusinessAcceptsBitcoin,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.GoodForDancing,attributes.CoatCheck,attributes.HappyHour,attributes.Music.dj,attributes.Music.background_music,attributes.Music.no_music,attributes.Music.jukebox,attributes.Music.live,attributes.Music.video,attributes.Music.karaoke,attributes.BestNights.monday,attributes.BestNights.tuesday,attributes.BestNights.friday,attributes.BestNights.wednesday,attributes.BestNights.thursday,attributes.BestNights.sunday,attributes.BestNights.saturday,attributes.Ambience,attributes.BusinessParking,attributes.DogsAllowed,attributes.BYOBCorkage,attributes.DriveThru,attributes.Smoking,attributes.AgesAllowed,attributes.Corkage,attributes.BYOB,attributes.GoodForMeal,attributes.Music,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.gluten-free,attributes.DietaryRestrictions.vegan,attributes.DietaryRestrictions.kosher,attributes.DietaryRestrictions.halal,attributes.DietaryRestrictions.soy-free,attributes.DietaryRestrictions.vegetarian,attributes.BestNights,attributes.Open24Hours,attributes.DietaryRestrictions,attributes.RestaurantsCounterService
17,PZ-LZzSlhSe9utkQYU8pFg,Carluccio's Tivoli Gardens,"1775 E Tropicana Ave, Ste 29",Las Vegas,NV,89119,36.1000163,-115.1285285,4.0,40,0,Restaurants,True,True,True,quiet,,True,2,False,,False,no,full_bar,casual,True,False,,,,,,,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
22,KWywu2tTEPWmR9JnBc0WyQ,Hunk Mansion,6007 Dean Martin Dr,Las Vegas,NV,89118,36.0801679,-115.1827558,4.0,107,1,Bars,False,True,,loud,,,2,True,False,True,,full_bar,,True,,,,,,,,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,,,,True,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Las Vegas,NV,89156,36.1956146,-115.0405289,4.5,184,1,"Restaurants,Patisserie/Cake Shop,Food,Bars",True,False,False,average,,True,1,False,True,True,no,beer_and_wine,casual,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,kANF0dbeoW34s2vwh6Umfw,Dairy Queen,6125 Spring Mountain Rd,Las Vegas,NV,89146,36.1250311,-115.2256202,2.0,33,0,"Fast Food,Food,Restaurants,Ice Cream & Frozen Yogurt",True,False,False,average,,True,1,False,True,False,no,none,casual,True,False,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,YK5eFV8uS1bCmp8GeiQ-Qg,All Star Donuts & Kolaches,3650 E Flamingo Rd,Las Vegas,NV,89121,36.115813,-115.095457,4.0,6,0,"Food,Donuts",,,,,,,1,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4343 N Rancho Dr,Las Vegas,NV,89030,36.238596,-115.2333307,2.0,4,1,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,sKhDrZFCJqfRNylkHrIDsQ,Starbucks,"1990 Village Center Circle, Suite 1",Las Vegas,NV,89134,36.191852,-115.304983,4.0,76,1,"Food,Coffee & Tea",,,False,,,True,2,True,True,,free,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,bJP4l_BGq2CudEu0m-wNjg,Artisan Fine Dining Room,"Artisan Hotel, 1501 W Sahara Ave",Las Vegas,NV,89102,36.1436722,-115.1697916,2.0,3,0,"Restaurants,Pizza",False,True,False,quiet,,False,4,False,False,True,no,full_bar,dressy,True,False,,,,,,,False,False,False,False,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,yes_corkage,,,,True,,,,,,,,,,,,,,
173,v7ZFEEqJBg_r8NCwHRP_2A,Bistro Divino,241 W Charleston Blvd,Las Vegas,NV,89102,36.1582642,-115.1579672,4.5,3,0,"Food,Pizza,Wine Bars,Bars,Restaurants",,,,,,,2,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,6fPQJq4f_yiq1NHn0fd11Q,La Creperie,3655 Las Vegas Blvd S,Las Vegas,NV,89109,36.1125266402,-115.1713514328,3.5,535,1,"Restaurants,Creperies",True,False,False,average,,True,2,False,False,False,no,none,casual,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,yes_free,,,,False,,,,,,,,,,,,,,
